#NGC 4527
#Name	logP	m_V	m_I	
C1-V2	1.318	26.28	25.44	
C1-V4	1.312	25.96	25.14	
C1-V5	1.405	25.61	24.45	
C1-V7	1.712	25.07	23.68	
C1-V8	1.310	26.03	24.95	
C1-V10	1.653	25.04	24.02	
C1-V11	1.525	26.78	25.15	
C2-V1	1.590	25.34	24.24	
C2-V2	1.444	25.88	24.94	
C3-V2	1.593	25.42	24.40	
C3-V7	1.763	24.91	24.26	
C3-V8	1.749	25.18	23.93	
C3-V9	1.686	24.72	23.67	
C3-V14	1.377	26.03	25.09	
C3-V16	1.377	25.83	24.89	
C4-V3	1.430	25.63	24.67	
C4-V15	1.346	25.86	25.04	
C4-V16	1.511	25.50	24.17	
C4-V18	1.465	25.98	24.62	
C4-V21	1.430	25.65	24.66	
C4-V22	1.610	24.88	23.85	
C4-V26	1.346	26.26	25.10	
