#IC 4182
#Name	logP	m_V	m_I		
C1-V1	0.842	24.47	23.71	
C1-V2	0.863	24.54	23.75	
C1-V4	1.393	23.29	22.45	
C1-V5	0.964	24.10	23.55	
C1-V6	1.623	21.87	21.19	
C2-V1	0.760	24.65	23.86	
C2-V2	1.574	22.86	21.85	
C2-V3	0.838	24.57	24.00	
C3-V1	0.629	24.98	24.59	
C3-V7	0.790	25.13	24.63	
C3-V9	1.332	22.80	22.60	
C3-V10	1.021	24.56	23.76	
C3-V11	1.124	24.04	23.28	
C3-V12	1.560	22.36	21.57	
C4-V1	0.565	24.83	24.74	
C4-V2	0.766	24.80	24.43	
C4-V4	0.714	24.85	24.51	
C4-V7	1.568	22.70	21.79	
C4-V8	1.547	22.72	22.17	
C4-V9	0.852	24.65	24.29	
C4-V10	1.255	23.14	22.77	
C4-V11	1.623	22.33	21.40	
C4-V14	1.342	23.42	22.62	
C4-V15	1.314	23.36	22.31	
C4-V16	1.204	23.76	23.11	
C4-V17	0.866	24.85	24.34	
C4-V18	1.428	23.20	22.25	
